"loan_amnt","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","loan_status","purpose","title","zip_code","addr_state","dti","fico_range_low","fico_range_high","inq_last_6mths","open_acc","revol_bal","revol_util","total_acc","initial_list_status","total_pymnt","total_rec_prncp","total_rec_int","last_pymnt_amnt","last_fico_range_high","last_fico_range_low","tot_coll_amt","tot_cur_bal","total_rev_hi_lim","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_inq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","year","loan_length","pull_length","credit_length"
8400,36,12.49,280.98,2,9,2764,10,1,44000,2,"0",3,10356,559,24,28.79,670,674,1,9,6389,56,21,0,9947.42,8400,1547.42,3203.9,544,540,0,34662,11400,7,3851,2909,65.8,156,106,4,4,0,4,4,4,5,7,5,8,10,7,11,7,9,2,81,60,50540,34662,8500,39140,2014,2.03287671232877,3.86575342465753,13.1452054794521
20000,36,10.99,654.68,2,8,127302,10,0,81000,2,"0",2,8261,768,32,17.04,700,704,0,12,24604,66,24,1,23568.46,20000,3568.46,654.66,734,730,0,36754,37300,5,3341,2670,89.9,152,128,3,3,4,22,9,0,4,5,6,9,6,11,14,5,12,3,100,66.7,70871,36754,26500,33571,2014,2.95068493150685,4.78356164383562,12.7232876712329
7200,36,11.99,239.11,2,8,137267,5,1,65000,2,"0",3,19270,753,31,11.45,670,674,0,16,5407,58.1,57,0,7842.198,7200,642.2,5690.21,729,725,758,40661,9300,8,3388,3793,58.8,101,133,23,6,2,23,8,0,2,2,3,26,19,8,35,2,15,1,100,66.7,48291,40661,9200,38991,2013,0.863013698630137,5.44657534246575,10.9780821917808
24000,60,21.7,658.77,5,22,116063,10,1,70000,2,"1",3,10401,369,18,23.39,675,679,0,10,13224,86.4,30,0,9734.79,2439.94,4147.99,659,684,680,52,202226,15300,4,22470,787,94.3,137,189,10,10,2,10,11,0,4,5,5,16,6,6,22,5,10,2,93,100,226746,60370,13700,62746,2013,0.780821917808219,2.95068493150685,15.6493150684932
14400,36,7.49,447.87,1,4,33598,10,0,81000,1,"0",3,10356,304,10,4.95,690,694,1,10,10244,42.9,26,0,15819.78,14400,1419.78,6868.37,719,715,0,10244,23900,4,1138,8635,53.3,127,250,6,6,2,9,6,0,6,8,6,13,4,10,19,8,10,2,100,33.3,23900,10244,18500,0,2014,1.6986301369863,4.27945205479452,20.8986301369863
16000,36,17.57,575,4,19,60901,2,1,89000,3,"0",3,10356,857,46,12.41,670,674,1,13,15681,81.7,33,1,20638.46,16000,4638.46,2813.46,684,680,0,274450,19200,9,21112,316,97.3,182,159,8,8,7,8,4,1,4,9,4,12,5,9,21,9,13,3,84.8,100,305970,33659,11600,20959,2014,2.62191780821918,3.28493150684932,15.3150684931507
11975,36,15.61,418.71,4,16,77648,10,0,45000,2,"0",3,10356,527,15,21.99,660,664,0,6,8719,89,12,0,12978.57,11975,1003.57,10885.02,719,715,0,21155,9800,1,3526,679,91.3,144,276,30,9,1,107,11,1,3,4,3,5,5,4,6,4,6,1,91.7,66.7,32875,21155,7800,23075,2014,0.452054794520548,1.95068493150685,23.0684931506849
3000,36,10.49,97.5,2,8,89469,2,0,42000,3,"0",3,10356,61,30,7.14,705,709,3,11,3992,30.9,12,1,3157.35,3000,157.35,2671.6,784,780,0,3992,12900,2,363,6024,35.9,121,91,3,3,0,7,1,0,7,8,9,9,1,11,11,8,11,2,100,11.1,12900,3992,9400,0,2014,0.443835616438356,4.27945205479452,10.2246575342466
24925,60,17.77,629.82,4,16,56549,10,1,56000,3,"0",3,11944,105,33,30.56,710,714,0,19,9946,36,35,1,28763.01,24925,3838.01,22465.01,739,735,0,52347,27600,6,3739,9643,39.4,126,211,21,0,1,23,12,0,2,7,3,5,9,15,24,7,19,3,97,0,72799,52347,15900,40369,2013,0.865753424657534,4.95068493150685,17.4794520547945
10500,36,13.98,358.77,3,11,75618,10,0,75000,2,"0",3,10356,802,5,14.67,665,669,1,7,3082,60.4,18,0,12489.22,10500,1989.22,5313.82,529,525,0,32518,5100,6,4645,1909,53.4,156,101,9,4,0,18,4,1,3,4,3,9,6,4,12,4,7,2,52.9,33.3,38935,32518,4100,33835,2013,1.78082191780822,3.12054794520548,13.0602739726027
7550,36,17.14,269.71,4,19,76674,4,1,35000,1,"1",3,10356,260,27,13.37,670,674,1,5,12950,95.2,17,0,6329.95,4149.72,1830.23,25,579,575,0,129886,13600,3,25977,302,96.4,74,459,4,4,2,4,4,1,3,4,3,12,2,4,13,4,5,2,88.2,100,132600,12950,8500,0,2014,2.2027397260274,4.27945205479452,38.3287671232877
20000,36,7.69,623.88,1,4,37833,10,1,120000,2,"0",3,10356,473,47,8.37,690,694,0,13,20174,68.2,48,1,21795.41,20000,1795.41,11821.87,764,760,0,248285,29600,2,22571,3479,75.8,175,338,22,22,3,22,1,0,3,8,3,14,10,10,34,8,13,0,95.7,66.7,286837,31003,14400,17166,2014,1.36438356164384,1.44931506849315,28.2383561643836
8000,36,16.59,283.6,4,16,136263,10,0,86500,1,"0",3,10356,800,5,11.49,685,689,2,8,7541,94.3,31,1,10202.05,8000,2202.05,843.25,669,665,0,36930,8000,5,4616,30,99.2,168,239,2,2,1,2,1,0,2,4,2,11,10,4,20,4,8,3,100,100,45193,36930,3800,37193,2014,2.78082191780822,3.27945205479452,19.9890410958904
12000,36,10.99,392.81,2,7,22502,5,0,47000,1,"0",2,8261,795,5,12.46,680,684,0,7,10047,63.2,10,0,14141.07,12000,2141.07,392.71,499,0,0,13586,15900,5,1941,3794,70.8,16,101,14,14,0,14,7,0,4,5,4,6,1,6,9,5,7,0,100,50,20511,13586,13000,4611,2013,2.95068493150685,5.27945205479452,8.47671232876712
14400,36,12.12,479.12,2,8,12137,4,0,55000,1,"0",3,20881,819,5,22.95,705,709,1,9,17776,57,28,1,17247.97,14400,2847.97,480.21,594,590,0,74995,31171,1,8333,13395,57,120,122,29,7,0,29,2,0,4,4,5,8,19,5,9,4,9,1,100,20,90012,74995,31171,58841,2012,2.94794520547945,6.28767123287671,10.1424657534247
4100,36,16.99,146.16,4,18,110149,9,0,27000,2,"1",2,8261,662,42,29.82,665,669,1,14,10718,64.4,37,0,919.49,360,224.64,146.16,584,580,0,59942,13700,4,4282,136,81.2,154,132,2,2,0,2,2,0,2,4,2,2,30,4,7,4,14,2,93.9,100,69291,59942,5900,55591,2014,0.284931506849315,1.95068493150685,12.9753424657534
26500,60,19.52,695.03,4,19,96092,10,1,60000,3,"0",3,10356,198,44,23.5,685,689,0,7,22444,69.5,30,1,32736.35,26500,6236.35,478,589,585,0,240157,32300,3,40026,2230,89.9,142,317,10,10,5,10,13,0,3,4,3,13,4,6,21,4,7,2,96,100,252850,22444,22000,0,2013,2.78356164383562,4.95068493150685,26.1534246575342
3000,60,24.5,87.18,6,28,86791,9,0,73000,3,"0",9,18165,60,30,28.85,690,694,0,14,3739,45.6,33,1,4110.95,3000,1110.95,2541.94,564,560,0,160046,8200,2,11432,319,75.5,121,127,7,7,0,27,14,1,1,5,1,6,17,7,15,5,14,1,90,100,139133,160046,1300,130933,2013,1.52876712328767,3.11780821917808,10.4794520547945
35000,60,16.99,869.66,4,18,23479,8,1,140000,2,"0",2,8261,460,22,24.7,695,699,1,24,32648,78.7,54,0,45189.28,28466.53,16722.75,869.66,674,670,0,387126,41500,8,16832,3358,80.5,203,143,8,8,2,8,5,0,11,18,11,12,31,18,21,18,24,2,96.3,54.5,428635,231273,17200,218835,2014,4.27945205479452,4.27945205479452,17.0630136986301
10000,36,14.33,343.39,3,11,21515,4,1,45000,3,"0",2,7546,460,22,24.88,680,684,1,12,11127,68.7,18,0,11887.37,10000,1887.37,5362.96,729,725,0,172963,16200,3,14414,1551,84.5,183,107,2,2,1,48,4,0,5,9,5,5,8,9,9,9,12,3,94,60,195573,24749,10000,22763,2013,1.6958904109589,1.6958904109589,15.0630136986301
8000,36,14.49,275.33,3,14,9747,1,0,55000,3,"0",2,8261,57,30,8.66,660,664,3,8,4654,77.6,31,1,9930.23,8000,1930.23,275.28,654,650,0,289663,6000,2,36208,251,93.2,121,108,31,20,0,31,0,3,2,3,2,8,17,3,14,3,8,0,70.8,100,293927,289663,3700,287927,2014,3.03561643835616,4.53150684931507,10.1424657534247
15250,60,11.99,339.16,2,8,129295,6,1,44000,2,"0",2,23488,408,34,34.42,725,729,0,12,25896,45.2,29,1,20348.85,15250,5098.85,338.41,699,695,0,149986,57300,3,12499,20904,55.3,146,149,16,16,2,17,9,0,5,5,6,8,13,9,14,5,12,0,100,33.3,214339,38006,46800,37319,2013,4.95068493150685,4.95068493150685,12.3123287671233
11500,60,25.83,343.16,7,32,134976,0,1,43000,2,"0",9,24092,676,42,16.33,660,664,3,6,3641,74.3,11,1,20595.5,11500,9095.5,5.9,679,675,0,21007,4900,4,3501,1059,77.5,115,91,1,1,0,1,1,0,3,3,4,8,2,5,9,3,6,2,100,75,28352,21007,4700,23452,2013,5.03561643835616,5.03561643835616,9.64383561643836
20000,60,24.5,581.18,6,28,75618,7,1,85000,3,"1",3,10356,133,37,16.53,660,664,1,9,15910,80.4,17,1,24707.29,10208.72,14469.51,600,559,555,0,32933,19800,6,3659,496,94.7,103,41,4,4,0,4,2,0,3,6,4,6,5,7,12,6,9,5,100,75,55941,32933,9300,36141,2014,3.95068493150685,4.36438356164384,8.72054794520548
5950,36,24.5,235.01,6,28,33559,8,0,20000,2,"1",3,10356,558,24,26.47,670,674,1,6,10315,84.5,13,1,4465.19,2603.29,1861.9,235.01,509,505,0,16839,12200,4,2807,118,98.1,76,114,23,6,0,23,6,0,2,4,2,2,5,5,8,4,6,2,100,100,20100,16839,6300,7900,2014,1.53698630136986,2.53972602739726,9.63835616438356
7000,36,7.62,218.13,1,3,17914,5,0,75000,2,"0",3,1823,85,33,22.67,735,739,0,7,7456,30.7,17,0,7324.33,7000,324.33,5797.42,774,770,0,31435,24300,2,4491,12727,34.7,86,123,36,9,0,102,19,0,1,3,2,7,5,4,11,3,7,1,94.1,50,93861,31435,19500,69561,2013,0.698630136986301,4.53150684931507,16.4821917808219
6000,36,8.9,190.52,1,5,143450,1,1,103000,1,"0",3,10356,52,7,12.13,680,684,0,12,9708,58.8,28,1,6734.25,6000,734.25,586.25,629,625,0,491277,16500,6,40940,565,92.8,126,134,13,13,3,14,14,4,4,8,4,13,4,9,21,8,12,0,85,75,523457,25863,7800,30957,2013,2.19452054794521,6.11232876712329,11.1452054794521
15000,36,11.99,498.15,2,8,86227,2,0,70000,2,"0",2,10357,306,10,10.47,660,664,0,7,5600,36.8,30,0,15578.49,15000,578.49,14084.04,679,675,0,22053,15200,3,3676,9600,36.8,144,427,3,3,4,3,15,0,5,5,6,17,7,6,19,5,7,1,100,0,40351,22053,15200,25151,2013,0.279452054794521,1.19452054794521,35.6630136986301
12600,36,12.12,419.23,2,8,125708,2,1,39000,2,"0",3,17978,768,32,10.98,695,699,0,9,11676,57.5,14,1,15050.49,12600,2450.49,2479.42,779,775,0,145512,20300,3,18189,7224,61.8,160,80,13,13,1,15,13,0,6,6,7,8,4,8,9,6,9,0,92,33.3,159991,11676,18900,0,2013,2.61369863013699,4.95068493150685,13.2301369863014
8000,36,15.8,280.47,3,13,136820,2,0,36000,2,"0",2,8189,332,2,8.13,690,694,2,6,4876,46,8,0,8407.38,8000,407.38,7565.97,774,770,0,8348,10600,5,1670,1368,62,15,173,5,5,0,20,2,0,1,2,3,4,1,5,7,2,6,2,100,50,15000,8348,3600,4400,2013,0.284931506849315,5.28767123287671,14.3068493150685
35000,60,18.99,907.73,5,21,111655,4,1,87000,3,"0",2,8261,325,2,36.29,660,664,0,19,28163,79.6,34,0,47198.25,28228.23,18970.02,907.73,734,730,0,201977,35400,8,10630,1168,95.5,164,142,15,4,1,18,2,0,10,12,10,15,10,14,23,12,19,2,100,90,237305,71669,25700,67404,2014,4.28767123287671,4.36438356164384,13.7232876712329
12000,36,14.3,411.89,3,11,57007,2,1,42000,1,"0",3,8444,791,5,22.37,690,694,0,12,12717,90.8,25,1,14725.47,12000,2725.47,3192.55,669,665,0,100932,14000,5,9176,266,97.7,87,233,4,4,0,15,7,0,4,6,4,7,10,8,15,6,12,4,100,100,106454,100932,11400,92454,2013,2.44657534246575,4.95068493150685,19.4849315068493
27000,60,19.72,711.14,4,20,57744,2,1,70000,3,"0",2,8261,274,11,16.13,670,674,0,9,23327,87.7,23,1,31626.66,27000,4626.66,24522.78,684,680,0,276816,26600,2,30757,272,97.8,150,144,14,14,4,59,12,1,2,5,2,4,8,7,11,5,9,0,91,100,336401,38968,12300,19812,2013,0.865753424657534,0.865753424657534,12.4712328767123
8500,36,8.9,269.91,1,5,79419,1,0,45000,3,"1",3,10357,715,49,11.65,730,734,0,11,7723,16.3,32,1,2856.81,1476.42,407.49,269.91,569,565,0,8560,47400,6,856,12918,18.8,94,96,8,8,0,50,16,0,3,5,5,12,13,10,19,5,11,2,100,25,49900,8560,15900,2500,2013,0.528767123287671,3.6986301369863,7.97260273972603
28000,36,7.62,872.52,1,3,53179,3,1,240000,2,"0",3,10357,703,6,13.91,770,774,0,10,44762,71.8,22,1,31410.64,28000,3410.64,872.44,779,775,63,473244,55000,4,47324,2333,98.6,125,225,3,3,2,128,9,0,2,3,2,8,8,4,10,3,10,2,100,100,537882,61447,45500,52264,2013,2.95068493150685,5.45479452054794,23.9013698630137
10000,36,19.97,371.49,4,20,2765,10,1,44000,3,"1",2,8261,755,31,18.66,665,669,2,10,6340,52.8,16,0,7418.75,3991.35,2323.98,371.49,539,535,582,14531,12000,5,1453,1625,78.9,251,156,16,16,0,16,5,0,5,6,6,9,4,8,12,6,10,0,86.7,83.3,28043,14531,7700,16043,2014,1.35890410958904,2.61369863013699,20.9890410958904
9075,36,18.24,329.18,4,20,104387,1,0,26400,2,"0",3,10356,808,5,27.73,660,664,1,11,4605,62.2,26,0,10895.29,9075,1820.29,6286.77,534,530,0,26470,7400,4,2406,514,86.8,106,119,7,7,3,7,0,2,6,8,6,9,4,9,18,8,11,2,91.3,83.3,34343,26470,3900,26943,2014,1.1972602739726,3.78082191780822,10.0575342465753
15000,36,17.77,540.56,4,16,74489,1,1,40000,3,"0",3,14703,692,42,22.41,680,684,1,9,9643,50,14,1,18715.47,15000,3715.47,7364.41,654,650,0,23156,19300,5,2895,7952,44.4,128,44,4,4,1,4,4,0,4,6,5,7,3,7,10,6,9,4,100,0,39098,23156,14300,19798,2013,1.78082191780822,3.95068493150685,10.8931506849315
12675,36,8.9,402.48,1,5,137268,10,1,1e+05,2,"0",2,7787,753,31,27.34,735,739,1,13,32899,50.2,35,0,14002.83,12675,1327.83,7161.01,724,720,0,219066,65600,3,18256,27546,52.3,168,234,8,5,4,36,5,0,6,8,6,13,10,10,21,8,13,3,97,33.3,302384,46286,57800,62089,2012,1.44657534246575,1.36164383561644,19.3150684931507
10000,36,10.15,323.38,2,7,120771,7,1,130000,1,"0",2,8261,684,42,7.6,685,689,1,9,10412,72.8,22,0,11641.54,10000,1641.54,323.24,704,700,0,146389,14300,2,16265,378,92,152,303,22,5,4,22,5,0,4,6,4,8,6,7,12,6,9,1,77.3,75,178979,38594,4700,28879,2014,2.95068493150685,4.53150684931507,25.3205479452055
30000,36,8.9,952.6,1,5,118419,0,0,150000,3,"0",3,18573,103,33,11.03,755,759,2,17,10205,13.9,57,1,33785.19,30000,3785.19,11878.54,769,765,0,38394,73600,8,2742,42633,18.5,139,188,10,10,3,21,1,1,3,4,6,16,12,15,40,4,17,3,96,20,123600,38394,52300,50000,2013,1.94794520547945,5.95068493150685,15.558904109589
35000,36,10.99,1145.69,2,7,113738,5,0,160000,2,"0",2,8261,815,5,7.27,740,744,0,5,28935,59.7,8,0,41237.53,35000,6237.53,2284.07,789,785,0,33173,48500,1,6635,19565,59.7,141,174,18,18,0,18,18,0,3,3,3,4,3,3,4,3,5,0,100,0,76962,33173,48500,20607,2014,2.95068493150685,2.95068493150685,19.8986301369863
15050,60,17.57,378.66,4,19,1267,10,0,47180,2,"1",3,10356,321,2,26.23,690,694,0,10,3787,26.3,32,1,11701.73,6135.98,5565.75,378.66,554,550,0,30386,14400,9,3039,6713,36.1,158,155,2,2,6,2,5,0,4,4,4,15,4,8,22,4,10,4,100,25,46491,30386,10500,32091,2014,2.53150684931507,3.2027397260274,13.227397260274
4500,36,21,169.54,5,21,126727,10,0,68000,3,"0",3,5483,187,21,15.86,660,664,3,9,2753,22.4,31,1,5642.23,4500,1142.23,2929.88,584,580,0,57012,12300,8,6335,2047,57.4,126,119,3,3,0,3,3,4,4,4,5,15,13,7,17,4,9,5,88,20,75206,57012,4800,62906,2013,1.36164383561644,3.78356164383562,10.4794520547945
4500,36,12.99,151.61,3,12,43334,3,1,120000,1,"0",3,10356,632,35,10.79,680,684,1,7,11240,55.6,33,0,5454.321,4500,954.32,151.22,714,710,0,250063,20200,4,35723,158,98.6,144,269,15,5,4,28,0,0,2,4,2,13,6,4,22,4,7,3,81.8,100,264092,47169,10900,37201,2014,2.95068493150685,2.95068493150685,22.4849315068493
9000,36,10.99,294.61,2,7,100946,10,0,47000,1,"0",3,10356,255,27,23.43,665,669,0,16,7446,34.3,36,0,9878.08,9000,878.08,6637.37,699,695,0,43922,21700,2,3137,4657,56.1,153,164,13,7,0,30,13,2,2,4,4,11,13,11,23,4,16,1,94.1,50,63208,43922,10600,41508,2014,0.947945205479452,5.11232876712329,13.7315068493151
20000,60,19.24,521.46,5,22,104865,6,1,75000,2,"1",6,20913,359,25,19.55,695,699,0,9,11828,93.1,18,0,9327.86,2876.8,3880.8,521.46,519,515,92,152557,12700,2,16951,0,100.7,172,121,25,5,2,43,20,0,1,5,1,3,8,5,8,5,9,1,100,100,176220,44538,2100,50880,2014,1.11506849315068,1.86575342465753,14.3972602739726
25000,60,22.95,704.05,6,26,35707,10,0,85000,2,"0",3,29603,265,39,19.05,690,694,0,14,24099,69.9,29,0,30853.8,25000,5853.8,22405.2,534,530,0,63803,34500,5,4557,1617,88.8,172,166,7,7,1,7,9,0,6,11,6,9,7,11,20,11,14,3,100,100,83701,63803,14500,46372,2013,1.03287671232877,4.2027397260274,14.1452054794521
35000,60,17.57,880.61,4,19,8685,6,1,155000,3,"0",3,10356,181,21,9.64,665,669,0,9,24390,85.9,29,1,46672.33,29185.2,17487.13,880.61,719,715,5663,463900,28400,4,51544,1458,91.3,135,331,2,2,4,2,8,7,2,4,3,12,8,6,17,4,9,2,75.9,66.7,484663,58589,16700,39263,2014,4.36438356164384,4.28767123287671,27.7342465753425
2000,36,20.49,74.83,5,22,1672,0,0,53000,1,"0",8,21701,700,6,11.48,675,679,1,11,5386,51.8,13,0,2589.75,2000,589.75,943.49,609,605,0,14405,10400,4,1310,2948,45.4,40,80,4,4,0,4,4,0,4,8,4,4,3,9,10,8,11,2,100,50,20868,14405,5400,10468,2014,1.86575342465753,4.61917808219178,6.72328767123288
27200,60,23.43,773.52,6,26,44686,10,1,56406,3,"0",2,8261,753,31,32.25,675,679,1,25,47430,81.9,39,1,41770.08,22860.67,18909.41,773.52,649,645,0,194940,57900,14,7798,2387,92.9,159,192,6,6,4,8,0,0,9,17,11,17,3,23,32,17,25,3,100,72.7,216559,58581,33700,16209,2014,4.44657534246575,4.44657534246575,16.0630136986301
5000,36,10.99,163.67,2,7,22503,9,1,40000,1,"0",3,10356,254,27,17.07,685,689,1,16,5912,75.8,20,1,5900.163,5000,900.16,327.24,679,675,0,12992,7800,5,812,1894,70.9,142,93,4,4,0,4,5,1,8,9,8,10,8,9,11,9,16,2,90,50,30450,12992,6500,20750,2014,2.86575342465753,5.02739726027397,11.8986301369863
20000,60,16.2,488.49,3,14,93093,10,1,61827,3,"0",2,28253,340,41,27.21,690,694,0,17,37091,78.7,34,1,27966.02,20000,7966.02,9840.92,719,715,0,148682,47100,1,10620,844,96.9,139,189,36,3,2,36,21,0,6,13,7,10,8,16,24,13,17,1,100,83.3,163100,37091,27400,0,2013,3.11780821917808,5.27945205479452,15.8958904109589
6000,36,14.49,206.5,3,14,9118,3,1,30000,1,"1",3,10356,343,41,9.18,665,669,1,12,4190,80.6,15,1,5268.17,3354.91,1183.26,206.5,644,640,0,20672,5200,7,1723,279,90,107,88,2,2,0,12,2,1,3,5,3,4,7,5,8,5,12,3,93.3,66.7,24325,20672,2800,19125,2014,1.78356164383562,4.36438356164384,8.97260273972603
24000,36,7.62,747.88,1,3,61320,10,0,105000,3,"0",3,10356,424,16,25.69,735,739,0,24,24548,26.5,41,0,25548.34,24000,1548.34,18069.54,729,725,0,61396,92500,3,3070,58287,29.4,144,360,10,9,2,39,12,0,4,6,8,12,14,18,25,6,24,2,87.8,25,153055,61396,82600,60555,2014,0.863013698630137,4.86575342465753,30.1561643835616
4000,36,23.4,155.68,5,25,7033,1,0,76500,3,"0",5,18058,417,34,7.91,660,664,3,9,5235,44.4,21,1,5048.24,4000,1048.24,2251.82,734,730,165,46871,11800,7,5208,1710,57.2,145,184,13,13,3,13,1,1,1,5,2,3,7,6,10,5,9,0,85,50,59142,46871,4000,47342,2013,1.27671232876712,4.78356164383562,15.4
12000,60,22.2,332.8,5,24,131212,10,0,43000,2,"0",9,14646,661,42,19.67,730,734,0,4,4875,77.4,16,0,19967.24,12000,7967.24,332.04,584,580,0,38547,6300,2,12849,1425,77.4,128,209,2,2,1,2,18,0,2,2,2,6,6,3,9,2,4,1,100,50,48899,38547,6300,42599,2013,4.95068493150685,5.11780821917808,17.3150684931507
15000,36,7.49,466.53,1,4,28616,1,1,92000,3,"0",3,10356,609,19,10.91,765,769,1,17,14165,17.1,42,0,16295.52,15000,1295.52,339.38,824,820,0,245132,82600,10,15321,37490,25,130,153,2,1,6,11,0,0,2,4,5,12,9,15,27,5,17,8,100,20,316332,47521,50000,33732,2014,1.44931506849315,3.86849315068493,12.8904109589041
20000,36,6.62,614.08,1,2,16992,0,1,80000,3,"1",3,15998,708,6,12.51,710,714,0,18,12118,28.6,34,1,19665.24,17489.73,2160.67,835.5,679,675,0,424718,42400,3,32671,24882,32.8,56,198,16,12,5,44,7,0,4,4,7,14,4,14,25,4,18,1,94,16.7,484743,27528,37000,32128,2012,2.94794520547945,5.61643835616438,16.3972602739726
7900,36,18.55,287.79,4,17,133183,4,0,39000,1,"0",2,31993,51,7,24.31,660,664,1,9,9431,70.4,14,1,10316.51,7900,2416.51,1682.81,684,680,0,23909,13400,5,2657,2301,68.5,42,71,5,5,0,45,6,0,3,5,3,3,5,6,9,5,9,3,100,33.3,32571,23909,7300,19171,2013,2.61643835616438,2.61643835616438,5.89041095890411
28000,36,11.99,929.87,2,8,48663,10,1,130000,2,"0",3,10356,799,5,5.73,690,694,0,8,28438,68,26,1,32815.79,28000,4815.79,11128.78,764,760,1392,83403,41800,1,11915,10262,73.5,138,437,20,20,4,20,19,0,4,4,4,9,6,6,16,4,8,0,96.2,50,346800,28438,38700,0,2014,1.94794520547945,2.03287671232877,36.4958904109589
23000,36,6.62,706.19,1,2,86167,8,0,79000,2,"0",3,10356,801,5,14.74,745,749,1,13,18318,23.4,24,1,25422.6,23000,2422.6,705.95,734,730,0,28580,78200,3,2198,37588,26.6,158,177,15,9,0,15,4,0,6,9,7,10,6,10,17,9,13,1,100,0,94786,28580,51200,15500,2014,2.95068493150685,4.86575342465753,14.813698630137
10000,36,12.99,336.9,3,11,67416,10,1,40000,1,"1",2,8261,650,42,28.77,665,669,0,12,8717,38.4,14,0,6875.57,4517.17,1547.03,336.9,584,580,0,42604,22700,12,3550,6980,50.8,76,25,2,2,0,2,9,0,5,8,7,7,2,11,12,8,12,4,100,28.6,60406,42604,14200,37706,2014,1.45205479452055,2.2027397260274,6.38904109589041
5600,60,14.09,130.57,2,10,5857,1,0,57000,3,"0",6,21728,306,10,30.99,695,699,0,12,2614,28.7,13,1,7833.651,5600,2233.65,130.02,754,750,0,68278,9100,4,5690,33,98.7,44,66,18,7,0,52,19,0,2,3,2,2,8,4,4,3,12,2,100,100,78383,68278,2500,56278,2012,4.95068493150685,4.95068493150685,5.56164383561644
19750,60,17.77,499.06,4,16,111755,5,1,45000,3,"1",2,5824,114,33,23.68,675,679,0,9,6892,88.4,18,1,10636.07,2691.28,3297.24,499.06,639,635,0,128005,7800,3,16001,309,95.6,180,89,20,20,1,20,13,0,2,3,3,5,8,5,9,3,9,0,88,100,147170,37113,7000,43637,2013,1.03013698630137,5.86575342465753,14.813698630137
7175,36,12.49,240,2,10,129295,10,1,18000,1,"0",3,10356,364,25,17,670,674,0,13,4227,51.5,34,0,8559.28,7175,1384.28,2079.28,674,670,2617,54241,8200,3,4172,1794,59.2,93,436,60,10,2,60,14,0,3,4,3,17,7,5,25,4,13,2,91.2,33.3,60568,32574,4400,25368,2014,2.28767123287671,2.28767123287671,36.4109589041096
18000,60,20.49,481.82,5,21,48205,7,1,59000,3,"0",3,11809,368,18,4.8,675,679,1,8,9900,56.6,30,1,23518.54,18000,5518.54,14385.37,689,685,0,32446,17500,9,4056,4900,66.9,135,138,0,0,3,8,4,0,3,3,5,12,7,7,20,3,8,6,92,20,40672,9900,14800,0,2012,1.61369863013699,6.1972602739726,11.4794520547945
12000,36,11.67,396.69,2,9,129722,2,1,55000,1,"1",3,10356,416,34,26.05,695,699,1,6,2838,53.5,28,0,11842.71,9328.39,2175.62,396.69,534,530,0,185607,5300,3,30935,2314,53.7,140,136,7,7,4,46,3,1,2,3,2,6,13,3,11,3,6,1,85.7,0,194144,50889,5000,53873,2014,2.36986301369863,2.86575342465753,12.0602739726027
5000,36,8.67,158.24,2,6,40702,8,0,35000,2,"0",3,10356,557,24,14.44,750,754,1,4,210,5.7,7,1,5182.9,5000,182.9,4553.55,639,635,0,34449,3700,2,8612,2617,6.5,83,88,11,9,0,40,1,0,1,2,1,2,4,2,3,2,4,2,100,0,42120,34449,2800,38420,2014,0.361643835616438,2.6986301369863,7.39452054794521
9000,36,12.49,301.04,2,10,127227,7,0,40000,2,"0",3,10356,148,37,18.68,695,699,2,13,7547,40.1,18,0,9758.41,9000,758.41,7651.13,679,675,0,18773,18800,3,1444,3752,57.4,170,158,4,4,0,5,4,0,4,7,6,8,5,10,13,7,13,3,100,33.3,42508,18773,8800,23708,2014,0.619178082191781,4.78356164383562,14.227397260274
1200,36,17.56,43.12,4,16,66651,10,1,55000,1,"0",4,22350,780,5,28.93,685,689,0,17,27003,84.9,25,0,1552.248,1200,352.25,43.04,694,690,0,33835,31800,2,1990,224,98.6,126,279,24,14,0,24,10,0,10,15,10,12,6,16,19,16,17,0,100,100,41400,33835,16400,9600,2013,2.95068493150685,4.53150684931507,23.0684931506849
8325,36,17.27,297.93,3,15,45764,10,0,25000,3,"0",3,10356,413,34,30.14,675,679,2,18,11124,51.3,31,1,10725.43,8325,2400.43,297.87,679,675,0,57939,21700,8,3219,5450,65.1,137,200,3,3,0,3,5,0,10,14,10,18,4,16,27,14,18,4,100,40,68572,57939,15600,46872,2013,2.94794520547945,5.03561643835616,16.4821917808219
